Won Hand,Trials,Reward
2074,6000,-2630
2080,6010,-2602
2085,6020,-2581
2088,6030,-2585
2091,6040,-2589
2096,6050,-2571
2103,6060,-2533
2106,6070,-2542
2112,6080,-2510
2118,6090,-2492
2121,6100,-2490
2125,6110,-2484
2128,6120,-2486
2131,6130,-2489
2135,6140,-2487
2136,6150,-2508
2139,6160,-2512
2143,6170,-2509
2149,6180,-2486
2155,6190,-2466
2159,6200,-2457
2163,6210,-2455
2166,6220,-2466
2169,6230,-2473
2172,6240,-2487
2177,6250,-2457
2181,6260,-2460
2184,6270,-2464
2188,6280,-2464
2193,6290,-2448
2200,6300,-2408
2205,6310,-2392
2207,6320,-2402
2210,6330,-2401
2213,6340,-2402
2217,6350,-2387
2221,6360,-2380
2225,6370,-2376
2229,6380,-2379
2234,6390,-2363
2240,6400,-2346
2245,6410,-2327
2252,6420,-2295
2257,6430,-2286
2263,6440,-2259
2269,6450,-2237
2269,6460,-2279
2272,6470,-2280
2276,6480,-2273
2278,6490,-2291
2283,6500,-2275
2287,6510,-2271
2290,6520,-2274
2295,6530,-2257
2299,6540,-2252
2304,6550,-2232
2309,6560,-2221
2310,6570,-2242
2311,6580,-2269
2316,6590,-2259
2321,6600,-2242
2326,6610,-2227
2331,6620,-2200
2333,6630,-2221
2339,6640,-2201
2343,6650,-2194
2348,6660,-2183
2351,6670,-2199
2353,6680,-2214
2356,6690,-2213
2361,6700,-2197
2366,6710,-2190
2368,6720,-2214
2373,6730,-2203
2376,6740,-2215
2380,6750,-2201
2384,6760,-2195
2388,6770,-2185
2391,6780,-2190
2392,6790,-2218
2397,6800,-2204
2403,6810,-2184
2406,6820,-2192
2410,6830,-2190
2415,6840,-2179
2420,6850,-2157
2426,6860,-2131
2430,6870,-2131
2431,6880,-2152
2436,6890,-2145
2440,6900,-2137
2444,6910,-2128
2448,6920,-2132
2453,6930,-2120
2456,6940,-2134
2461,6950,-2124
2464,6960,-2131
2467,6970,-2137
2471,6980,-2130
2474,6990,-2128
2479,7000,-2113
2484,7010,-2104
2488,7020,-2101
2493,7030,-2084
2495,7040,-2109
2497,7050,-2124
2501,7060,-2108
2502,7070,-2136
2504,7080,-2156
2508,7090,-2140
2514,7100,-2113
2520,7110,-2083
2522,7120,-2094
2526,7130,-2093
2531,7140,-2081
2534,7150,-2078
2542,7160,-2036
2545,7170,-2037
2548,7180,-2044
2554,7190,-2024
2558,7200,-2016
2561,7210,-2022
2565,7220,-2009
2567,7230,-2032
2571,7240,-2016
2577,7250,-1988
2580,7260,-1976
2582,7270,-1996
2586,7280,-1985
2587,7290,-2013
2590,7300,-2026
2592,7310,-2049
2598,7320,-2022
2602,7330,-2027
2604,7340,-2038
2610,7350,-2009
2614,7360,-2014
2617,7370,-2019
2619,7380,-2037
2624,7390,-2030
2627,7400,-2024
2634,7410,-1988
2637,7420,-1994
2641,7430,-1986
2644,7440,-1982
2648,7450,-1965
2654,7460,-1939
2660,7470,-1913
2665,7480,-1899
2667,7490,-1913
2672,7500,-1904
2678,7510,-1883
2678,7520,-1923
2683,7530,-1914
2689,7540,-1891
2692,7550,-1890
2695,7560,-1895
2699,7570,-1897
2704,7580,-1888
2709,7590,-1870
2715,7600,-1849
2719,7610,-1834
2723,7620,-1826
2726,7630,-1838
2733,7640,-1800
2737,7650,-1790
2738,7660,-1807
2743,7670,-1800
2747,7680,-1782
2753,7690,-1761
2757,7700,-1753
2760,7710,-1761
2763,7720,-1770
2764,7730,-1790
2771,7740,-1760
2774,7750,-1766
2777,7760,-1774
2780,7770,-1784
2787,7780,-1752
2790,7790,-1748
2795,7800,-1726
2799,7810,-1701
2805,7820,-1680
2811,7830,-1646
2815,7840,-1636
2818,7850,-1639
2819,7860,-1661
2821,7870,-1678
2826,7880,-1666
2830,7890,-1652
2835,7900,-1635
2838,7910,-1642
2841,7920,-1650
2845,7930,-1645
2849,7940,-1647
2853,7950,-1637
2859,7960,-1615
2865,7970,-1593
2871,7980,-1572
2876,7990,-1557
2881,8000,-1547
2884,8010,-1558
2887,8020,-1558
2893,8030,-1537
2897,8040,-1530
2900,8050,-1536
2904,8060,-1527
2909,8070,-1512
2912,8080,-1522
2917,8090,-1508
2921,8100,-1504
2925,8110,-1506
2930,8120,-1497
2931,8130,-1508
2937,8140,-1478
2939,8150,-1494
2944,8160,-1477
2947,8170,-1485
2951,8180,-1487
2957,8190,-1450
2958,8200,-1476
2963,8210,-1465
2966,8220,-1466
2971,8230,-1459
2978,8240,-1426
2983,8250,-1414
2986,8260,-1423
2992,8270,-1395
2995,8280,-1398
3002,8290,-1366
3007,8300,-1352
3012,8310,-1346
3015,8320,-1343
3020,8330,-1323
3026,8340,-1290
3029,8350,-1298
3032,8360,-1306
3035,8370,-1318
3039,8380,-1305
3044,8390,-1296
3050,8400,-1270
3053,8410,-1274
3057,8420,-1278
3059,8430,-1294
3064,8440,-1273
3067,8450,-1275
3069,8460,-1293
3071,8470,-1309
3075,8480,-1297
3079,8490,-1293
3085,8500,-1266
3089,8510,-1255
3095,8520,-1223
3098,8530,-1236
3100,8540,-1255
3104,8550,-1250
3107,8560,-1249
3110,8570,-1257
3115,8580,-1246
3119,8590,-1243
3124,8600,-1226
3128,8610,-1231
3135,8620,-1194
3140,8630,-1178
3144,8640,-1177
3148,8650,-1176
3152,8660,-1176
3157,8670,-1160
3161,8680,-1145
3166,8690,-1136
3170,8700,-1138
3173,8710,-1142
3177,8720,-1137
3183,8730,-1115
3186,8740,-1115
3189,8750,-1121
3191,8760,-1144
3194,8770,-1145
3198,8780,-1131
3203,8790,-1121
3208,8800,-1111
3211,8810,-1112
3214,8820,-1109
3220,8830,-1082
3223,8840,-1089
3228,8850,-1067
3231,8860,-1075
3235,8870,-1075
3238,8880,-1071
3243,8890,-1058
3246,8900,-1071
3251,8910,-1049
3254,8920,-1046
3257,8930,-1053
3265,8940,-1010
3269,8950,-1009
3275,8960,-987
3280,8970,-969
3281,8980,-1000
3287,8990,-967
3291,9000,-960
3295,9010,-952
3298,9020,-954
3303,9030,-939
3309,9040,-913
3314,9050,-893
3317,9060,-899
3323,9070,-880
3326,9080,-889
3332,9090,-867
3337,9100,-852
3342,9110,-844
3345,9120,-854
3351,9130,-835
3356,9140,-818
3362,9150,-797
3367,9160,-785
3371,9170,-781
3376,9180,-765
3382,9190,-740
3386,9200,-741
3391,9210,-721
3395,9220,-717
3400,9230,-700
3403,9240,-706
3407,9250,-703
3409,9260,-701
3414,9270,-689
3421,9280,-658
3423,9290,-672
3428,9300,-654
3431,9310,-667
3436,9320,-649
3440,9330,-644
3443,9340,-645
3447,9350,-636
3451,9360,-637
3456,9370,-629
3458,9380,-648
3461,9390,-660
3465,9400,-656
3472,9410,-620
3475,9420,-615
3478,9430,-622
3482,9440,-615
3487,9450,-598
3490,9460,-602
3494,9470,-600
3496,9480,-615
3497,9490,-643
3499,9500,-661
3502,9510,-666
3506,9520,-650
3509,9530,-645
3512,9540,-657
3516,9550,-659
3520,9560,-642
3526,9570,-618
3531,9580,-599
3536,9590,-588
3540,9600,-586
3544,9610,-581
3547,9620,-582
3551,9630,-579
3555,9640,-568
3559,9650,-564
3561,9660,-581
3564,9670,-592
3569,9680,-578
3573,9690,-580
3577,9700,-568
3580,9710,-573
3582,9720,-590
3583,9730,-626
3587,9740,-622
3592,9750,-609
3596,9760,-607
3600,9770,-595
3602,9780,-608
3606,9790,-607
3610,9800,-606
3614,9810,-596
3620,9820,-569
3627,9830,-529
3629,9840,-553
3634,9850,-540
3637,9860,-553
3641,9870,-553
3643,9880,-565
3646,9890,-565
3652,9900,-541
3655,9910,-545
3661,9920,-523
3664,9930,-528
3668,9940,-530
3671,9950,-543
3673,9960,-568
3678,9970,-552
3679,9980,-582
3685,9990,-565
3688,10000,-574
