Won Hand,Trials,Reward
2288,5830,2133
2293,5840,2148
2297,5850,2159
2301,5860,2164
2306,5870,2172
2311,5880,2193
2314,5890,2181
2315,5900,2155
2318,5910,2150
2323,5920,2170
2325,5930,2156
2330,5940,2167
2334,5950,2166
2340,5960,2190
2346,5970,2210
2347,5980,2178
2352,5990,2187
2357,6000,2199
2358,6010,2179
2360,6020,2167
2366,6030,2192
2368,6040,2174
2373,6050,2188
2376,6060,2174
2378,6070,2162
2383,6080,2179
2388,6090,2187
2392,6100,2183
2395,6110,2171
2397,6120,2156
2402,6130,2170
2405,6140,2161
2410,6150,2176
2413,6160,2174
2418,6170,2188
2421,6180,2184
2422,6190,2157
2429,6200,2197
2432,6210,2194
2435,6220,2188
2439,6230,2186
2443,6240,2186
2445,6250,2170
2449,6260,2171
2454,6270,2186
2457,6280,2183
2458,6290,2155
2463,6300,2170
2468,6310,2189
2469,6320,2168
2472,6330,2165
2474,6340,2161
2477,6350,2146
2483,6360,2179
2487,6370,2184
2489,6380,2172
2491,6390,2171
2495,6400,2175
2502,6410,2208
2505,6420,2217
2508,6430,2206
2512,6440,2210
2514,6450,2196
2517,6460,2190
2522,6470,2208
2524,6480,2198
2526,6490,2196
2529,6500,2192
2535,6510,2216
2541,6520,2236
2544,6530,2234
2548,6540,2229
2552,6550,2232
2554,6560,2206
2558,6570,2217
2564,6580,2241
2567,6590,2228
2570,6600,2225
2575,6610,2236
2578,6620,2224
2583,6630,2251
2588,6640,2260
2592,6650,2257
2596,6660,2255
2601,6670,2263
2603,6680,2249
2607,6690,2260
2610,6700,2247
2613,6710,2242
2615,6720,2219
2620,6730,2229
2624,6740,2229
2628,6750,2232
2633,6760,2248
2638,6770,2271
2640,6780,2271
2646,6790,2291
2651,6800,2300
2655,6810,2298
2660,6820,2318
2663,6830,2311
2667,6840,2317
2667,6850,2302
2672,6860,2311
2677,6870,2327
2680,6880,2332
2686,6890,2351
2687,6900,2341
2692,6910,2362
2697,6920,2370
2702,6930,2393
2707,6940,2422
2712,6950,2436
2718,6960,2458
2720,6970,2446
2724,6980,2445
2729,6990,2455
2732,7000,2453
2736,7010,2458
2743,7020,2490
2747,7030,2487
2754,7040,2521
2757,7050,2519
2761,7060,2522
2766,7070,2532
2772,7080,2555
2774,7090,2553
2779,7100,2573
2784,7110,2584
2787,7120,2585
2790,7130,2572
2794,7140,2576
2797,7150,2573
2803,7160,2591
2806,7170,2582
2811,7180,2600
2815,7190,2600
2817,7200,2588
2821,7210,2593
2824,7220,2595
2829,7230,2604
2834,7240,2608
2836,7250,2597
2838,7260,2578
2843,7270,2586
2845,7280,2566
2848,7290,2554
2850,7300,2535
2855,7310,2550
2860,7320,2566
2864,7330,2570
2868,7340,2568
2871,7350,2566
2873,7360,2544
2877,7370,2550
2880,7380,2543
2883,7390,2539
2889,7400,2573
2891,7410,2555
2897,7420,2582
2900,7430,2600
2904,7440,2602
2909,7450,2610
2912,7460,2603
2918,7470,2620
2922,7480,2625
2925,7490,2625
2928,7500,2615
2931,7510,2609
2932,7520,2581
2936,7530,2582
2942,7540,2605
2948,7550,2631
2953,7560,2652
2955,7570,2634
2957,7580,2617
2964,7590,2645
2967,7600,2638
2970,7610,2624
2974,7620,2634
2980,7630,2662
2983,7640,2663
2987,7650,2663
2992,7660,2672
2995,7670,2675
2999,7680,2685
3007,7690,2730
3012,7700,2742
3018,7710,2763
3019,7720,2750
3025,7730,2775
3030,7740,2799
3035,7750,2806
3038,7760,2812
3042,7770,2822
3045,7780,2807
3051,7790,2834
3052,7800,2798
3057,7810,2826
3058,7820,2803
3062,7830,2818
3067,7840,2829
3070,7850,2835
3077,7860,2863
3083,7870,2903
3084,7880,2875
3088,7890,2879
3094,7900,2908
3097,7910,2909
3097,7920,2883
3102,7930,2892
3105,7940,2884
3111,7950,2914
3117,7960,2942
3120,7970,2953
3125,7980,2964
3130,7990,2976
3134,8000,2987
3137,8010,2985
3141,8020,2987
3146,8030,3004
3150,8040,3002
3156,8050,3034
3158,8060,3021
3161,8070,3027
3168,8080,3061
3172,8090,3062
3176,8100,3071
3177,8110,3056
3182,8120,3069
3187,8130,3083
3191,8140,3084
3192,8150,3050
3195,8160,3051
3200,8170,3067
3203,8180,3059
3205,8190,3041
3209,8200,3041
3211,8210,3022
3217,8220,3045
3219,8230,3020
3223,8240,3031
3229,8250,3057
3235,8260,3089
3238,8270,3079
3239,8280,3054
3241,8290,3044
3248,8300,3072
3251,8310,3062
3254,8320,3055
3257,8330,3053
3262,8340,3064
3267,8350,3072
3271,8360,3074
3279,8370,3121
3281,8380,3106
3286,8390,3116
3290,8400,3113
3294,8410,3119
3297,8420,3105
3300,8430,3094
3304,8440,3090
3309,8450,3105
3316,8460,3146
3319,8470,3134
3323,8480,3138
3327,8490,3146
3328,8500,3127
3333,8510,3141
3336,8520,3129
3340,8530,3137
3342,8540,3120
3346,8550,3125
3348,8560,3130
3350,8570,3112
3352,8580,3092
3354,8590,3077
3359,8600,3093
3364,8610,3111
3367,8620,3112
3372,8630,3128
3378,8640,3158
3383,8650,3172
